time,esc,board district,plocn,school name,school type,grades offered,graduating class,total students,meeting college requirements,missing one required course,missing two required courses,missing three or more required courses
April SY 14-15,S,5,8882,Maywood Academy Senior High ,S,9-12,2018,360,66%,25%,4%,5%
April SY 14-15,XS,2,1918,Mc Alister High School ,O,6-12,2017,30,10%,30%,27%,33%
April SY 14-15,XS,2,1918,Mc Alister High School ,O,6-12,2018,12,0%,17%,25%,58%
April SY 14-15,W,4,1952,Mcbride Special Education Center ,H,6-12,2017,5,0%,0%,0%,100%
April SY 14-15,W,4,1952,Mcbride Special Education Center ,H,6-12,2018,10,0%,0%,0%,100%
April SY 14-15,XP,7,7667,Mervyn M Dymally Senior High ,S,9-12,2017,173,35%,15%,10%,39%
April SY 14-15,XP,7,7667,Mervyn M Dymally Senior High ,S,9-12,2018,234,49%,33%,15%,3%
April SY 14-15,E,2,8757,Metropolitan Continuation High ,C,9-12,2017,26,0%,19%,23%,58%
April SY 14-15,E,2,8757,Metropolitan Continuation High ,C,9-12,2018,4,0%,0%,50%,50%
April SY 14-15,W,1,8760,Middle College High School ,S,9-12,2017,102,91%,2%,5%,2%
April SY 14-15,W,1,8760,Middle College High School ,S,9-12,2018,96,89%,7%,3%,1%
April SY 14-15,XP,2,8517,Miguel Contreras School Of Business And Tourism ,S,9-12,2017,114,76%,15%,4%,4%
April SY 14-15,XP,2,8517,Miguel Contreras School Of Business And Tourism ,S,9-12,2018,119,44%,24%,29%,3%
April SY 14-15,N,6,8845,Mission Continuation High ,C,9-12,2017,9,0%,0%,33%,67%
April SY 14-15,N,6,8845,Mission Continuation High ,C,9-12,2018,1,0%,0%,100%,0%
April SY 14-15,S,7,8666,Moneta Continuation High ,C,9-12,2017,12,0%,42%,8%,50%
April SY 14-15,E,2,8677,Monterey Continuation High ,C,9-12,2017,11,9%,18%,18%,55%
April SY 14-15,E,2,8677,Monterey Continuation High ,C,9-12,2018,1,0%,0%,0%,100%
April SY 14-15,N,6,8916,Mount Lukens Continuation High ,C,9-12,2017,2,0%,0%,50%,50%
April SY 14-15,S,7,8779,Narbonne Senior High ,S,9-12,2017,662,52%,14%,10%,25%
April SY 14-15,S,7,8779,Narbonne Senior High ,S,9-12,2018,645,64%,25%,9%,2%
April SY 14-15,XP,7,8838,Narbonne Sh-Humanities & Arts ,S,9-12,2017,111,58%,17%,8%,17%
April SY 14-15,XP,7,8838,Narbonne Sh-Humanities & Arts ,S,9-12,2018,134,75%,17%,6%,2%
April SY 14-15,XP,5,7614,Nava College Preparatory Academy ,S,9- 9,2018,275,86%,11%,3%,0%
